Class,False positive rate (1-specificity),True positive rate (sensitivity)
"banana (One v. Rest)","0","0"
"banana (One v. Rest)","0","0"
"banana (One v. Rest)","0","0.2"
"banana (One v. Rest)","0","0.5"
"banana (One v. Rest)","0","0.7"
"banana (One v. Rest)","0","1"
"banana (One v. Rest)","0.004761904761904762","1"
"banana (One v. Rest)","0.01904761904761905","1"
"banana (One v. Rest)","0.02857142857142857","1"
"banana (One v. Rest)","0.0380952380952381","1"
"banana (One v. Rest)","0.04285714285714286","1"
"banana (One v. Rest)","0.05714285714285714","1"
"banana (One v. Rest)","0.06666666666666667","1"
"banana (One v. Rest)","0.11428571428571428","1"
"banana (One v. Rest)","0.12857142857142856","1"
"banana (One v. Rest)","1","1"
"banana (One v. Rest)","1","1"
"papaya (One v. Rest)","0","0"
"papaya (One v. Rest)","0","0"
"papaya (One v. Rest)","0","0.1"
"papaya (One v. Rest)","0","1"
"papaya (One v. Rest)","0.023809523809523808","1"
"papaya (One v. Rest)","0.03333333333333333","1"
"papaya (One v. Rest)","0.05238095238095238","1"
"papaya (One v. Rest)","0.08095238095238096","1"
"papaya (One v. Rest)","0.1","1"
"papaya (One v. Rest)","0.11904761904761904","1"
"papaya (One v. Rest)","1","1"
"papaya (One v. Rest)","1","1"
"cotton (One v. Rest)","0","0"
"cotton (One v. Rest)","0","0"
"cotton (One v. Rest)","0","0.1"
"cotton (One v. Rest)","0","1"
"cotton (One v. Rest)","0.03333333333333333","1"
"cotton (One v. Rest)","0.047619047619047616","1"
"cotton (One v. Rest)","0.05238095238095238","1"
"cotton (One v. Rest)","0.06190476190476191","1"
"cotton (One v. Rest)","0.08095238095238096","1"
"cotton (One v. Rest)","0.09523809523809523","1"
"cotton (One v. Rest)","0.11428571428571428","1"
"cotton (One v. Rest)","0.12380952380952381","1"
"cotton (One v. Rest)","0.14761904761904762","1"
"cotton (One v. Rest)","0.15714285714285714","1"
"cotton (One v. Rest)","0.1761904761904762","1"
"cotton (One v. Rest)","0.19047619047619047","1"
"cotton (One v. Rest)","0.2","1"
"cotton (One v. Rest)","1","1"
"cotton (One v. Rest)","1","1"
"lentil (One v. Rest)","0","0"
"lentil (One v. Rest)","0","0"
"lentil (One v. Rest)","0","0.1"
"lentil (One v. Rest)","0","1"
"lentil (One v. Rest)","0.04285714285714286","1"
"lentil (One v. Rest)","0.05238095238095238","1"
"lentil (One v. Rest)","0.06190476190476191","1"
"lentil (One v. Rest)","0.07142857142857142","1"
"lentil (One v. Rest)","0.0761904761904762","1"
"lentil (One v. Rest)","0.08571428571428572","1"
"lentil (One v. Rest)","0.09047619047619047","1"
"lentil (One v. Rest)","0.10952380952380952","1"
"lentil (One v. Rest)","0.12857142857142856","1"
"lentil (One v. Rest)","0.14285714285714285","1"
"lentil (One v. Rest)","0.1619047619047619","1"
"lentil (One v. Rest)","0.18095238095238095","1"
"lentil (One v. Rest)","0.20952380952380953","1"
"lentil (One v. Rest)","0.21428571428571427","1"
"lentil (One v. Rest)","1","1"
"lentil (One v. Rest)","1","1"
"muskmelon (One v. Rest)","0","0"
"muskmelon (One v. Rest)","0","0"
"muskmelon (One v. Rest)","0","0.6"
"muskmelon (One v. Rest)","0","1"
"muskmelon (One v. Rest)","0.004761904761904762","1"
"muskmelon (One v. Rest)","0.023809523809523808","1"
"muskmelon (One v. Rest)","0.02857142857142857","1"
"muskmelon (One v. Rest)","0.0761904761904762","1"
"muskmelon (One v. Rest)","1","1"
"muskmelon (One v. Rest)","1","1"
"rice (One v. Rest)","0","0"
"rice (One v. Rest)","0","0"
"rice (One v. Rest)","0","0.1"
"rice (One v. Rest)","0","1"
"rice (One v. Rest)","0.07142857142857142","1"
"rice (One v. Rest)","0.08095238095238096","1"
"rice (One v. Rest)","0.10952380952380952","1"
"rice (One v. Rest)","0.12857142857142856","1"
"rice (One v. Rest)","0.14761904761904762","1"
"rice (One v. Rest)","0.1619047619047619","1"
"rice (One v. Rest)","0.16666666666666666","1"
"rice (One v. Rest)","0.1761904761904762","1"
"rice (One v. Rest)","0.19047619047619047","1"
"rice (One v. Rest)","1","1"
"rice (One v. Rest)","1","1"
"jute (One v. Rest)","0","0"
"jute (One v. Rest)","0","0"
"jute (One v. Rest)","0","0.1"
"jute (One v. Rest)","0","1"
"jute (One v. Rest)","0.07142857142857142","1"
"jute (One v. Rest)","0.08095238095238096","1"
"jute (One v. Rest)","0.12380952380952381","1"
"jute (One v. Rest)","0.15714285714285714","1"
"jute (One v. Rest)","0.18095238095238095","1"
"jute (One v. Rest)","0.19047619047619047","1"
"jute (One v. Rest)","0.2","1"
"jute (One v. Rest)","0.20952380952380953","1"
"jute (One v. Rest)","0.21904761904761905","1"
"jute (One v. Rest)","0.22857142857142856","1"
"jute (One v. Rest)","0.24285714285714285","1"
"jute (One v. Rest)","0.2523809523809524","1"
"jute (One v. Rest)","0.2619047619047619","1"
"jute (One v. Rest)","0.26666666666666666","1"
"jute (One v. Rest)","0.28095238095238095","1"
"jute (One v. Rest)","1","1"
"jute (One v. Rest)","1","1"
"maize (One v. Rest)","0","0"
"maize (One v. Rest)","0","0"
"maize (One v. Rest)","0","0.2"
"maize (One v. Rest)","0","1"
"maize (One v. Rest)","0.01904761904761905","1"
"maize (One v. Rest)","0.03333333333333333","1"
"maize (One v. Rest)","0.05238095238095238","1"
"maize (One v. Rest)","0.0761904761904762","1"
"maize (One v. Rest)","0.09523809523809523","1"
"maize (One v. Rest)","0.10476190476190476","1"
"maize (One v. Rest)","0.12380952380952381","1"
"maize (One v. Rest)","0.12857142857142856","1"
"maize (One v. Rest)","0.14761904761904762","1"
"maize (One v. Rest)","0.18095238095238095","1"
"maize (One v. Rest)","0.19523809523809524","1"
"maize (One v. Rest)","0.20476190476190476","1"
"maize (One v. Rest)","0.2571428571428571","1"
"maize (One v. Rest)","0.26666666666666666","1"
"maize (One v. Rest)","1","1"
"maize (One v. Rest)","1","1"
"chickpea (One v. Rest)","0","0"
"chickpea (One v. Rest)","0","0"
"chickpea (One v. Rest)","0","0.3"
"chickpea (One v. Rest)","0","0.8"
"chickpea (One v. Rest)","0","1"
"chickpea (One v. Rest)","0.009523809523809525","1"
"chickpea (One v. Rest)","0.023809523809523808","1"
"chickpea (One v. Rest)","0.03333333333333333","1"
"chickpea (One v. Rest)","0.0380952380952381","1"
"chickpea (One v. Rest)","1","1"
"chickpea (One v. Rest)","1","1"
"coconut (One v. Rest)","0","0"
"coconut (One v. Rest)","0","0"
"coconut (One v. Rest)","0","0.1"
"coconut (One v. Rest)","0","1"
"coconut (One v. Rest)","0.009523809523809525","1"
"coconut (One v. Rest)","0.01904761904761905","1"
"coconut (One v. Rest)","0.05238095238095238","1"
"coconut (One v. Rest)","0.07142857142857142","1"
"coconut (One v. Rest)","0.08095238095238096","1"
"coconut (One v. Rest)","0.09523809523809523","1"
"coconut (One v. Rest)","0.10476190476190476","1"
"coconut (One v. Rest)","0.11904761904761904","1"
"coconut (One v. Rest)","0.12857142857142856","1"
"coconut (One v. Rest)","0.14285714285714285","1"
"coconut (One v. Rest)","0.14761904761904762","1"
"coconut (One v. Rest)","1","1"
"coconut (One v. Rest)","1","1"